id,threat_category,definition,example_scenario,potential_impact,suggested_control_areas
1,Autonomy Drift,"AI behavior moves outside approved purpose, scope, policy boundaries, or expected behavior.","An AI agent approved to summarize incident reports begins recommending or initiating operational actions without authorization.","Weak accountability; unsafe actions; policy violation; operational risk","Autonomy boundaries; human oversight; monitoring; approval workflow"
2,Tool Misuse,"AI uses tools, APIs, scripts, workflows, or system privileges in unsafe, unauthorized, or unintended ways.","An AI agent connected to an administrative dashboard changes system settings without approval.","Unauthorized access; service disruption; security exposure","Least privilege; tool-use approval; API access review; rollback controls"
3,Goal Misalignment,"AI optimizes for an outcome that conflicts with safety, ethics, compliance, governance, or resilience.","An AI system prioritizes speed of service over accuracy, fairness, or required human review.","Poor decisions; ethical failure; compliance risk; reputational harm","Governance policy; human review; ethical review; objective validation"
4,Prompt Injection,"Malicious or manipulated input causes AI to ignore instructions, reveal information, or perform unsafe actions.","A malicious instruction hidden inside a document tells an AI assistant to disclose restricted data.","Data leakage; unsafe outputs; compromised workflows; security incident","Input validation; prompt security testing; content separation; red-teaming"
5,Unsafe Delegation,"Tasks are assigned to AI without appropriate human oversight, approval, escalation, or accountability.","An AI agent approves customer requests or operational changes without human review.","Accountability failure; poor decisions; service errors; governance weakness","Human-in-the-loop; escalation procedures; approval workflow; accountability matrix"
6,Adversarial Manipulation,"Attackers manipulate AI inputs, outputs, models, data, tools, or decision pathways.","An attacker manipulates input data so an AI monitoring tool underestimates a security threat.","False confidence; missed threats; incorrect decisions; security compromise","Adversarial testing; red-teaming; monitoring; data validation; incident response"
7,Excessive Autonomy,"AI is given more authority, access, or decision power than appropriate for its risk level.","An AI agent executes system changes, approves transactions, or triggers workflows without proper limits.","Unsafe automation; unauthorized action; service disruption; compliance failure","Risk classification; least privilege; human override; autonomy boundaries"
8,Opaque Decision-Making,"AI actions or recommendations cannot be explained, reviewed, challenged, or audited.","A public-service AI system rejects applications without clear reasons or reviewable decision records.","Weak accountability; loss of trust; audit failure; regulatory concern","Decision logs; audit trails; explainability records; human review; appeal mechanism"
9,Data Exposure,"AI accesses, processes, generates, shares, or leaks sensitive or restricted data in unsafe ways.","An AI assistant summarizes confidential records and exposes restricted information to an unauthorized user.","Privacy breach; confidentiality failure; regulatory risk; reputational harm","Data classification; access restriction; output review; data masking; vendor review"
10,Operational Disruption,"AI behavior causes interruption, degradation, or failure of critical services, systems, or workflows.","An AI automation tool triggers an incorrect network change that causes service downtime.","Service interruption; continuity failure; trust loss; financial loss","Incident response; fail-safe procedures; rollback controls; continuity planning; recovery testing"
